stock_name,accuracy,buy_precision,not_buy_precision,auc_score,status
APOLLOTYRE_data,0.9215,0.9130,0.9304,0.9729,SUCCESS
BANDHANBNK_data,0.9257,0.9156,0.9363,0.9775,SUCCESS
BSE_data,0.9007,0.8848,0.9179,0.9616,SUCCESS
COCHINSHIP_data,0.9196,0.9059,0.9342,0.9731,SUCCESS
COFORGE_data,0.9242,0.9159,0.9327,0.9742,SUCCESS
DIXON_data,0.9255,0.9135,0.9383,0.9751,SUCCESS
EXIDEIND_data,0.9346,0.9264,0.9430,0.9793,SUCCESS
FEDERALBNK_data,0.9323,0.9262,0.9386,0.9790,SUCCESS
HDFCAMC_data,0.9442,0.9403,0.9483,0.9844,SUCCESS
HINDZINC_data,0.9397,0.9302,0.9496,0.9818,SUCCESS
IDFCFIRSTB_data,0.9313,0.9211,0.9420,0.9782,SUCCESS
KPITTECH_data,0.9030,0.8873,0.9200,0.9634,SUCCESS
MAZDOCK_data,0.8939,0.8778,0.9115,0.9589,SUCCESS
MRF_data,0.9600,0.9583,0.9617,0.9897,SUCCESS
PERSISTENT_data,0.9129,0.9014,0.9251,0.9676,SUCCESS
SOLARINDS_data,0.9234,0.9129,0.9344,0.9737,SUCCESS
SUZLON_data,0.8835,0.8701,0.8978,0.9488,SUCCESS
TATAELXSI_data,0.9360,0.9251,0.9474,0.9789,SUCCESS
TATATECH_data,0.9686,0.9647,0.9724,0.9925,SUCCESS
YESBANK_data,0.9315,0.9253,0.9380,0.9775,SUCCESS
