stock_name,accuracy,buy_precision,not_buy_precision,auc_score,status
AXISBANK_data,0.9442,0.9408,0.9476,0.9833,SUCCESS
BAJAJ-AUTO_data,0.9413,0.9368,0.9460,0.9815,SUCCESS
BAJAJFINSV_data,0.9324,0.9264,0.9385,0.9779,SUCCESS
BAJFINANCE_data,0.9382,0.9293,0.9474,0.9819,SUCCESS
BEL_data,0.9138,0.9008,0.9275,0.9687,SUCCESS
BHARTIARTL_data,0.9427,0.9394,0.9461,0.9819,SUCCESS
CIPLA_data,0.9420,0.9389,0.9452,0.9836,SUCCESS
COALINDIA_data,0.9360,0.9257,0.9469,0.9803,SUCCESS
DRREDDY_data,0.9509,0.9475,0.9544,0.9862,SUCCESS
EICHERMOT_data,0.9305,0.9279,0.9331,0.9773,SUCCESS
GRASIM_data,0.9259,0.9213,0.9306,0.9742,SUCCESS
HCLTECH_data,0.9401,0.9374,0.9429,0.9818,SUCCESS
HDFCBANK_data,0.9544,0.9535,0.9553,0.9875,SUCCESS
HEROMOTOCO_data,0.9374,0.9327,0.9421,0.9810,SUCCESS
HINDALCO_data,0.9242,0.9117,0.9375,0.9743,SUCCESS
HINDUNILVR_data,0.9589,0.9543,0.9637,0.9898,SUCCESS
ICICIBANK_data,0.9428,0.9351,0.9507,0.9827,SUCCESS
INDUSINDBK_data,0.9322,0.9230,0.9417,0.9789,SUCCESS
INFY_data,0.9428,0.9398,0.9458,0.9827,SUCCESS
ITC_data,0.9538,0.9516,0.9560,0.9871,SUCCESS
JSWSTEEL_data,0.9266,0.9189,0.9345,0.9747,SUCCESS
KOTAKBANK_data,0.9506,0.9465,0.9546,0.9860,SUCCESS
LT_data,0.9375,0.9335,0.9416,0.9805,SUCCESS
M&M_data,0.9246,0.9139,0.9359,0.9732,SUCCESS
MARUTI_data,0.9458,0.9431,0.9486,0.9842,SUCCESS
NESTLEIND_data,0.9522,0.9529,0.9515,0.9846,SUCCESS
NTPC_data,0.9376,0.9317,0.9437,0.9802,SUCCESS
ONGC_data,0.9351,0.9249,0.9457,0.9800,SUCCESS
POWERGRID_data,0.9311,0.9193,0.9436,0.9773,SUCCESS
RELIANCE_data,0.9501,0.9479,0.9524,0.9857,SUCCESS
SBILIFE_data,0.9393,0.9366,0.9419,0.9809,SUCCESS
SBIN_data,0.9385,0.9295,0.9480,0.9815,SUCCESS
SHRIRAMFIN_data,0.9172,0.9091,0.9257,0.9690,SUCCESS
SUNPHARMA_data,0.9478,0.9491,0.9465,0.9854,SUCCESS
TATACONSUM_data,0.9383,0.9310,0.9457,0.9796,SUCCESS
TATAMOTORS_data,0.9231,0.9076,0.9399,0.9752,SUCCESS
TATASTEEL_data,0.9186,0.9067,0.9312,0.9711,SUCCESS
TCS_data,0.9524,0.9504,0.9544,0.9869,SUCCESS
TECHM_data,0.9367,0.9316,0.9418,0.9801,SUCCESS
TITAN_data,0.9402,0.9384,0.9420,0.9818,SUCCESS
TRENT_data,0.9115,0.9033,0.9201,0.9684,SUCCESS
ULTRACEMCO_data,0.9476,0.9461,0.9491,0.9851,SUCCESS
WIPRO_data,0.9462,0.9414,0.9511,0.9849,SUCCESS
