stock_name,accuracy,buy_precision,not_buy_precision,auc_score,status
AFFLE_data,0.9499,0.9502,0.9496,0.9854,SUCCESS
ANGELONE_data,0.9357,0.9275,0.9441,0.9804,SUCCESS
ASTERDM_data,0.9517,0.9499,0.9534,0.9864,SUCCESS
BANDHANBNK_data,0.9553,0.9548,0.9558,0.9872,SUCCESS
CDSL_data,0.9486,0.9460,0.9512,0.9859,SUCCESS
DELHIVERY_data,0.9616,0.9626,0.9605,0.9907,SUCCESS
GODFRYPHLP_data,0.9473,0.9435,0.9513,0.9852,SUCCESS
GODIGIT_data,0.9510,0.9561,0.9459,0.9919,SUCCESS
GRSE_data,0.9314,0.9217,0.9416,0.9773,SUCCESS
IDBI_data,0.9529,0.9499,0.9558,0.9863,SUCCESS
IKS_data,0.9676,0.9610,0.9745,0.9926,SUCCESS
KAYNES_data,0.9471,0.9403,0.9541,0.9872,SUCCESS
LALPATHLAB_data,0.9521,0.9601,0.9443,0.9839,SUCCESS
LAURUSLABS_data,0.9513,0.9488,0.9538,0.9872,SUCCESS
MCX_data,0.9592,0.9616,0.9569,0.9885,SUCCESS
NBCC_data,0.9456,0.9388,0.9527,0.9849,SUCCESS
NH_data,0.9550,0.9573,0.9527,0.9871,SUCCESS
PEL_data,0.9468,0.9419,0.9518,0.9845,SUCCESS
RADICO_data,0.9478,0.9467,0.9489,0.9848,SUCCESS
SHYAMMETL_data,0.9585,0.9603,0.9566,0.9881,SUCCESS
